,Star_name,Distance,Mass,Radius,Luminosity,,Brown_dwarf,Constellation,Right_ascension,Declination,App_mag,Distance,Spectral_type,Mass,Radius,Discovery_year
0,Sun,0.000015813,1,1,1,0,SDSS J000013.54+255418.6 [de],46.1,48,0.99,Pegasus,0h 0m 13.54s,25° 54′ 18″,,T4.5,2004
1,Sirius,0008.6,2.1,1.71,25.4,1,.mw-parser-output .vanchor>:target~.vanchor-text{background-color:#b1d2ff}2MASS J08283419-1309198,,,,,,,,,
2,Canopus,0310,15,71,"13,500",2,2MASS J00040288-6410358,192,19,1.63,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,,L1γ,
3,Alpha Centauri,0004.4,1.1,1.2,2,3,LHS 102BC,,,,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,,L5,2002
4,Arcturus,0037,1.1,26,170,4,2MASS J00242463-0158201,37.7,79,1.09,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,,M9.5,
5,Vega,0025,2.2,2.7,50,5,2MASS J00250365+4759191AB,143,,,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,,L4,
6,Capella,0043,2.6,12,150,6,2MASS J00274197+0503417,236,31,1.44,Pisces,0h 27m 41.97s,5° 3′ 41.7″,,M9.5β,
7,Rigel,0860,23,78.9,"120,000",7,2MASS J00275592+2219328,46.9,,,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,,M8,
8,Procyon,0011.4,1.5,1.9,7.7,8,2MASSW J0030300-145033,87.2,54,0.98,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,,L7,n/a
9,Betelgeuse,0640[1],20,950,"60,000",9,2MASS J00332386-1521309 [de],131,29,1.43,Cetus,0h 33m 23.86s,−15° 21′ ″,,L1-L4β,n/a
10,Achernar,0144,6.7,9.3,"3,000",10,2MASS J00345157+0523050,31,42,0.94,Pisces,0h 34m 51.57s,5° 23′ 5″,,T6.5,n/a
11,Hadar,0390,10.5,8.6,"42,000",11,2MASS 0036+1821,28.6,42,0.94,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,L3.5,2000
12,Altair,0017,1.8,1.8,10.5,12,2MASSW J0045214+163445,57,23,1.62,Pisces,0h 45m 21.43s,16° 34′ 44.6″,,L2β,n/a
13,Acrux,0320,18,8.9,"25,000",13,WISEP J004701.06+680352.1 [fr],40,12,1.3,Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,,L7.5p,n/a
14,Aldebaran,0065,1.5,44,520,14,2MASS J00501994-3322402 [de],34,40,0.94,Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,,T7,n/a
15,Antares,0600,12,680,"75,000",15,2MASS J00034227-2822410,,,,Sculptor,0h 55m 39.72s,−28° 22′ 42″,,M7.5,n/a
16,Spica,0260,11.43,7.47,"20,512",16,2MASS J00584253-0651239 [de],96,29,1.43,Cetus,0h 58m 42.53s,−6° 51′ 23.9″,,L0β,n/a
